title,address,location.lat,location.lng,neighborhood,postalCode,ObjectId,x,y
Kiosk Royal,"Feldstraße 28, 44141 Dortmund, Germany",51.5065384,7.4781695,Dortmund Innenstadt-Ost,44141,1,7.4781695,51.5065384
Körner Kiosk (Hermes) Halleschestraße 105 Dortmund,"Hallesche Str. 105, 44143 Dortmund, Germany",51.51655,7.50167,Dortmund Innenstadt-Ost,44143,2,7.50167,51.51655
Florian kiosk,"Rheinlanddamm 6, 44139 Dortmund, Germany",51.5002529,7.4818187,Dortmund Innenstadt-Ost,44139,3,7.4818187,51.5002529
Dorf Kiosk,"Theresenstraße 2, 44377 Dortmund, Germany",51.5001275,7.3370623,Lütgendortmund,44377,4,7.3370623,51.5001275
Kiosk am Neuen Graben,"Neuer Graben 16, 44139 Dortmund, Germany",51.50527,7.45802,Innenstadt-West,44139,5,7.45802,51.50527
City Kiosk & Trinkhalle,"Beurhausstraße 27, 44137 Dortmund, Germany",51.5092295,7.4582717,Innenstadt-West,44137,6,7.4582717,51.5092295
Kiosk Mohan,"Möllerstraße, 44137 Dortmund, Germany",51.510661,7.4518894,Innenstadt-West,44137,7,7.4518894,51.510661
Qamishlo Minimarkt - Kiosk,"Schützenstraße 79, 44147 Dortmund, Germany",51.5234132,7.453028,Innenstadt-Nord,44147,8,7.453028,51.5234132
König Kiösk,"Königswall 4, 44137 Dortmund, Germany",51.517459,7.4639348,Innenstadt-West,44137,9,7.4639348,51.517459
Lotto Seel,"44227 Dortmund, Germany",51.4772038,7.4304557,Hombruch,44227,10,7.4304557,51.4772038
Kirchderne Kiosk Spätkauf & Trinkhalle 44329,"Merckenbuschweg 2, 44329 Dortmund, Germany",51.5531112,7.5127604,Scharnhorst,44329,11,7.5127604,51.5531112
Kiosk & Trinkhalle,"Ammerstraße 63, 44359 Dortmund, Germany",51.5640979,7.381334,Mengede,44359,12,7.381334,51.5640979
Kiosk Kurt Aplerbeck,"Ringofenstraße 10, 44287 Dortmund, Germany",51.4927584,7.5501096,Aplerbeck,44287,13,7.5501096,51.4927584
